field,temperature,mean_local_moment_squared,mean_local_moment_squared_error,mean_local_moment,mean_local_moment_error
0.0,0.5,0.060104166666668325,0.06514014054044485,0.19895833333333568,0.16370297099169195
0.0,4.0,0.04947916666666674,0.049755484904872915,0.1812500000000007,0.13725651008240752
0.2,0.5,0.135520833333336,0.09093706808413965,0.30729166666666885,0.14796539891656516
0.2,4.0,0.05338541666666735,0.05367500466767728,0.17968750000000253,0.14935653472744773
0.5,0.5,0.3409375000000023,0.11760238263454881,0.49479166666666846,0.11884030245175416
0.5,4.0,0.05223958333333393,0.05054003626316514,0.17656250000000104,0.14312222658595353
1.0,0.5,0.4435416666666619,0.10648132149379173,0.569791666666666,0.09343881959235849
1.0,4.0,0.14244791666666898,0.11241532039998466,0.30677083333333555,0.18322361219691763
2.0,0.5,0.45593750000000316,0.10315949202431174,0.5677083333333353,0.09085606637003572
2.0,4.0,0.18411458333333663,0.08979877641593531,0.3609375000000032,0.12439657339003916
3.0,0.5,0.4222916666666645,0.09452464971151726,0.5374999999999992,0.08792990670838828
3.0,4.0,0.24781250000000077,0.10054889178677355,0.42500000000000093,0.11829281386679215
4.0,0.5,0.36994791666667187,0.06903457420682431,0.514062500000004,0.06714609041393194
4.0,4.0,0.3368750000000065,0.09486674578982073,0.5093750000000044,0.09312073206362691
5.0,0.5,0.37776041666666743,0.06583373839949641,0.514062500000002,0.06403281546455554
5.0,4.0,0.38885416666666633,0.10221061125779157,0.5593750000000011,0.09136144023042805
6.0,0.5,0.9776562500000127,0.013187336997323986,0.9880208333333395,0.006673612818888217
6.0,4.0,0.41750000000000487,0.09127121606410478,0.5812500000000033,0.07851287403363807
7.0,0.5,0.9930729166666793,0.004492440945675055,0.996354166666673,0.002254439784552026
7.0,4.0,0.4564583333333398,0.09185981115987148,0.6197916666666714,0.07410539387687054
8.0,0.5,0.9990104166666792,0.0007273041689461805,0.9994791666666729,0.0003638415852987644
8.0,4.0,0.4915104166666729,0.09489446411592684,0.6546875000000044,0.07247309908614888
9.0,0.5,1.0000000000000122,0.0,1.0000000000000062,0.0
9.0,4.0,0.5247395833333381,0.096347538433652,0.685937500000004,0.07023055193341335
