field,angle,mode,sigma,rho,delta_rho_over_rho0
1.0,0,raw,0.2319035188463376,4.312138103702573,0.0
1.0,1,raw,0.2412856771981791,4.144464817025396,-0.0388840251969681
1.0,2,raw,0.2335148070775441,4.282383684850984,-0.006900154432911143
1.0,3,raw,0.2417026230965502,4.137315463061985,-0.04054198553856103
1.0,4,raw,0.22554260671806728,4.433752072618455,0.028202707332462218
1.0,5,raw,0.21435675092708245,4.665120159150804,0.08185778074805783
1.0,6,raw,0.22246564415517397,4.495076099491934,0.04242396495424927
1.0,7,raw,0.1996635736869077,5.008424829498941,0.1614713418381728
1.0,8,raw,0.20936723014647504,4.776296650150989,0.10764000022398901
1.0,9,raw,0.199781475740034,5.005469082134781,0.1607858936236033
1.0,10,raw,0.18792474618503108,5.321278970973828,0.23402331813184896
1.0,11,raw,0.18644618761707904,5.363477863402539,0.24380938977748512
1.0,12,raw,0.2120127660003421,4.716697106807174,0.09381865640092335
1.0,13,raw,0.18766105822753884,5.328756053307027,0.23575727983562156
1.0,14,raw,0.18304832784234262,5.463038159306696,0.26689777273504167
1.0,15,raw,0.198064564630668,5.048858698499174,0.17084809833989878
1.0,16,raw,0.1880853034311645,5.316736511345663,0.2329699057598602
1.0,17,raw,0.20337623637508306,4.9169953079263315,0.1402685140590476
1.0,18,raw,0.19170450953217902,5.2163613805451075,0.20969255972254985
1.0,19,raw,0.1881536103614068,5.314806333395319,0.2325222907011757
1.0,20,raw,0.19914252398149318,5.021529204344787,0.16451029247720572
1.0,21,raw,0.1990756698120249,5.023215548862598,0.16490136170487335
1.0,22,raw,0.18916105652809836,5.286500394712365,0.22595804391635
1.0,23,raw,0.20121488868794618,4.969811163183101,0.15251669674397106
1.0,24,raw,0.19286303590527745,5.185026748677434,0.20242594833068184
1.0,25,raw,0.2173161003937173,4.601591866356307,0.06712534610271348
1.0,26,raw,0.19847113947886197,5.038515940533028,0.16844957637297342
1.0,27,raw,0.19877071213541533,5.030922258399597,0.16668857476523025
1.0,28,raw,0.19992653870838634,5.001837207108378,0.15994364902497016
1.0,29,raw,0.197054967675593,5.074726162936814,0.17684685436661995
1.0,30,raw,0.19564204761924,5.111375658601812,0.18534600137527657
1.0,31,raw,0.1957891191100461,5.107536131453432,0.18445560151886098
1.0,32,raw,0.19807898220566383,5.048491207218078,0.170762875818667
1.0,33,raw,0.18654375852810381,5.360672519361427,0.2431588206227766
1.0,34,raw,0.20236863813554362,4.94147714395456,0.14594593798181266
1.0,35,raw,0.19911186054938007,5.022302525027123,0.16468962826463618
1.0,36,raw,0.1830487852469927,5.463024508196942,0.2668946069946536
1.0,37,raw,0.19790149981597702,5.053018804455103,0.17181284154985232
1.0,38,raw,0.19429176555498504,5.1468985169986405,0.19358387723698112
1.0,39,raw,0.1822202913497387,5.487863028825269,0.27265474733130013
1.0,40,raw,0.19335769334135658,5.171762150857814,0.1993498414202306
1.0,41,raw,0.17528065954800773,5.705135994916253,0.3230411127179802
1.0,42,raw,0.18906016198669243,5.289321607956667,0.22661229319511955
1.0,43,raw,0.18418645447138865,5.429280903799248,0.25906934639626966
1.0,44,raw,0.19251033426936215,5.194526329172496,0.2046289344750507
1.0,45,raw,0.17949698969830818,5.571124071109842,0.29196327601990624
1.0,46,raw,0.19775482747182685,5.056766566886793,0.1726819608455612
1.0,47,raw,0.1889434490047009,5.292588895077913,0.22736998857561797
1.0,48,raw,0.19272937194024786,5.188622730063331,0.20325986906777738
1.0,49,raw,0.18792980977088347,5.321135594290018,0.233990068574353
1.0,50,raw,0.19748209823521065,5.063750126904931,0.17430147298784204
1.0,51,raw,0.1948680585628771,5.131677337860556,0.19005403223386907
1.0,52,raw,0.21015002174749683,4.758505336732906,0.10351413203743753
1.0,53,raw,0.2195352669364722,4.555076794515088,0.056338337263344807
1.0,54,raw,0.22100458444568888,4.524793015077687,0.04931542224784513
1.0,55,raw,0.22873206366742047,4.371927503150645,0.013865372121717234
1.0,56,raw,0.2346418104987664,4.261815052800479,-0.01167009258327889
1.0,57,raw,0.24442481489810872,4.091237628294253,-0.051227597562018334
1.0,58,raw,0.2448857312620693,4.083537227123414,-0.05301334769006427
1.0,59,raw,0.24192969730918706,4.1334321958911735,-0.0414425288600927
