field,angle,mode,sigma,rho,delta_rho_over_rho0
4.0,0,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,1,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,2,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,3,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,4,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,5,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,6,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,7,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,8,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,9,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,10,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,11,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,12,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,13,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,14,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,15,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,16,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,17,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,18,smoothed,0.25487463761086293,3.9234974863476935,0.0
4.0,19,smoothed,0.2548745982130076,3.9234980928317738,1.5457741020519222e-07
4.0,20,smoothed,0.25487329354298643,3.923518176812597,5.273474744216244e-06
4.0,21,smoothed,0.2548574006190939,3.923762847658425,6.763386790864523e-05
4.0,22,smoothed,0.2547810043888763,3.9249393901975678,0.0003675047212063909
4.0,23,smoothed,0.25447671874699423,3.929632560981815,0.001563674924087266
4.0,24,smoothed,0.25185204410320555,3.9705852043440775,0.012001465060250904
4.0,25,smoothed,0.23851954268867523,4.192528581631728,0.06856920291657187
4.0,26,smoothed,0.21571161670614697,4.635818947860604,0.18155267436554334
4.0,27,smoothed,0.2027265582268594,4.932752811207689,0.2572335851805252
4.0,28,smoothed,0.19954415089627672,5.011422261731947,0.277284432873941
4.0,29,smoothed,0.19820388265860345,5.045309842504203,0.28592151774277874
4.0,30,smoothed,0.19742139124962885,5.065307227703371,0.2910183440485814
4.0,31,smoothed,0.1982018913094587,5.045360533107473,0.2859344374919175
4.0,32,smoothed,0.1980473102533054,5.049298567705794,0.2869381426330635
4.0,33,smoothed,0.19356168961606712,5.166311587708894,0.31676179370210633
4.0,34,smoothed,0.19710819670415128,5.073355734165362,0.2930697042163901
4.0,35,smoothed,0.22269893503864133,4.490367229760152,0.1444807204248133
4.0,36,smoothed,0.24743005734533258,4.041546167547148,0.0300876148411513
4.0,37,smoothed,0.25403323373361164,3.9364928175052714,0.003312180319420932
4.0,38,smoothed,0.25454767985583365,3.9285370841579184,0.001284465665585488
4.0,39,smoothed,0.2545364237276944,3.9287108122089824,0.0013287445396432673
4.0,40,smoothed,0.2545301482588239,3.9288076750072474,0.0013534324102491002
4.0,41,smoothed,0.25452963323461997,3.928815624694754,0.0013554585839714584
4.0,42,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,43,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,44,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,45,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,46,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,47,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,48,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,49,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,50,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,51,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,52,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,53,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,54,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,55,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,56,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,57,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,58,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
4.0,59,smoothed,0.254529617682467,3.9288158647514595,0.0013555197683372544
