field,angle,ik,ikprime,qx,qy,qz,t2_raw,t2_smoothed
2.0,0,0,0,0.0,0.0,0.0,0.660103981118705,0.660103981118705
2.0,0,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,0.4646639287270683,0.46466392872706835
2.0,0,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,0.10714313772384083,0.10714313772384083
2.0,0,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,0.43066953960170573,0.43066953960170573
2.0,0,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,0.17870759457217858,0.17870759457217858
2.0,0,0,5,5.551115123125783e-17,-0.4162771276085246,-5.0366664873315985e-17,0.00012489428480433315,0.00012489428480433315
2.0,0,0,6,0.03605065675233994,-0.4370909839889509,-5.324646617009432e-17,3.427541820593311e-05,3.427541820593311e-05
2.0,0,0,7,0.03605065675233993,-0.3954632712280984,-4.820979968276272e-17,4.0182052304191464e-05,4.0182052304191464e-05
2.0,0,0,8,0.07210131350467978,-0.4162771276085246,-5.108960097954106e-17,5.773001131300116e-05,5.7730011313001166e-05
2.0,0,0,9,0.07210131350467978,-0.37464941484767217,-4.605293449220947e-17,0.00021370646054094328,0.0002137064605409433
2.0,0,0,10,-0.32445591077105895,-0.22895242018468848,-2.4448453202310898e-17,6.210327987788883e-05,6.210327987788883e-05
2.0,0,0,11,-0.28840525401871897,-0.2497662765651148,-2.7328254499089243e-17,0.0003160770639739616,0.0003160770639739616
2.0,0,0,12,-0.32445591077105895,-0.18732470742383595,-1.941178671497929e-17,3.633058008214067e-22,3.633058008214067e-22
2.0,0,0,13,-0.28840525401871897,-0.20813856380426227,-2.229158801175764e-17,7.48976408713125e-05,7.489764087131252e-05
2.0,0,0,14,-0.28840525401871897,-0.16651085104340985,-1.7254921524426052e-17,1.466886979003759e-05,1.466886979003759e-05
2.0,0,1,0,-0.036050656752339885,0.02081385638042621,2.8798012967783443e-18,0.4646639287270683,0.46466392872706835
2.0,0,1,1,0.0,0.0,0.0,0.7298376350350184,0.7298376350350184
2.0,0,1,2,0.03605065675233987,-0.020813856380426238,-2.8798012967783412e-18,0.48153525984763296,0.48153525984763296
2.0,0,1,3,-1.3877787807814457e-17,0.04162771276085242,5.0366664873315954e-18,0.44526467068572323,0.44526467068572323
2.0,0,1,4,0.03605065675233987,0.020813856380426182,2.156865190553254e-18,0.4591759318670738,0.4591759318670738
2.0,0,1,5,-0.03605065675233983,-0.3954632712280984,-4.748686357653764e-17,4.1936281378461316e-05,4.1936281378461316e-05
2.0,0,1,6,5.551115123125783e-17,-0.4162771276085247,-5.036666487331598e-17,0.00012506540677559416,0.00012506540677559416
2.0,0,1,7,4.163336342344337e-17,-0.37464941484767217,-4.532999838598438e-17,8.939608350819255e-22,8.939608350819255e-22
2.0,0,1,8,0.0360506567523399,-0.3954632712280984,-4.8209799682762715e-17,2.2408687372495097e-05,2.2408687372495097e-05
2.0,0,1,9,0.0360506567523399,-0.35383555846724596,-4.3173133195431126e-17,4.546375422237752e-05,4.546375422237752e-05
2.0,0,1,10,-0.3605065675233988,-0.20813856380426227,-2.1568651905532554e-17,4.5346040251786194e-05,4.53460402517862e-05
2.0,0,1,11,-0.32445591077105884,-0.2289524201846886,-2.4448453202310898e-17,8.113561634449595e-05,8.113561634449596e-05
2.0,0,1,12,-0.3605065675233988,-0.16651085104340974,-1.6531985418200946e-17,9.20481894459081e-05,9.204818944590811e-05
2.0,0,1,13,-0.32445591077105884,-0.18732470742383606,-1.9411786714979297e-17,3.927548067210982e-22,3.927548067210982e-22
2.0,0,1,14,-0.32445591077105884,-0.14569699466298364,-1.4375120227647708e-17,1.8489459924585008e-05,1.8489459924585008e-05
2.0,0,2,0,-0.07210131350467976,0.04162771276085245,5.7596025935566855e-18,0.10714313772384083,0.10714313772384083
2.0,0,2,1,-0.03605065675233987,0.020813856380426238,2.8798012967783412e-18,0.4815352598476331,0.4815352598476331
2.0,0,2,2,0.0,0.0,0.0,0.7066864429785328,0.7066864429785329
2.0,0,2,3,-0.036050656752339885,0.06244156914127866,7.916467784109937e-18,0.17323599648821075,0.17323599648821075
2.0,0,2,4,0.0,0.04162771276085242,5.0366664873315954e-18,0.44525100639546156,0.44525100639546156
2.0,0,2,5,-0.0721013135046797,-0.3746494148476721,-4.46070622797593e-17,0.00018924930367434728,0.00018924930367434728
2.0,0,2,6,-0.036050656752339816,-0.39546327122809843,-4.748686357653764e-17,3.228944918081371e-05,3.228944918081371e-05
2.0,0,2,7,-0.03605065675233983,-0.3538355584672459,-4.245019708920604e-17,3.874197519327415e-05,3.874197519327415e-05
2.0,0,2,8,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,8.902563847763277e-22,8.902563847763277e-22
2.0,0,2,9,2.7755575615628914e-17,-0.3330217020868197,-4.029333189865279e-17,2.1630039084617332e-05,2.1630039084617332e-05
2.0,0,2,10,-0.3965572242757387,-0.18732470742383603,-1.8688850608754213e-17,0.000246385727913035,0.000246385727913035
2.0,0,2,11,-0.3605065675233987,-0.20813856380426235,-2.1568651905532557e-17,5.407537764633533e-05,5.407537764633533e-05
2.0,0,2,12,-0.3965572242757387,-0.1456969946629835,-1.3652184121422605e-17,0.00010066980778046854,0.00010066980778046854
2.0,0,2,13,-0.3605065675233987,-0.16651085104340982,-1.6531985418200956e-17,9.216613573962983e-05,9.216613573962983e-05
2.0,0,2,14,-0.3605065675233987,-0.1248831382825574,-1.1495318930869366e-17,4.90050473907276e-05,4.90050473907276e-05
2.0,0,3,0,-0.03605065675233987,-0.02081385638042621,-2.156865190553251e-18,0.43066953960170573,0.43066953960170573
2.0,0,3,1,1.3877787807814457e-17,-0.04162771276085242,-5.0366664873315954e-18,0.44526467068572323,0.44526467068572323
2.0,0,3,2,0.036050656752339885,-0.06244156914127866,-7.916467784109937e-18,0.17323599648821075,0.17323599648821075
2.0,0,3,3,0.0,0.0,0.0,0.6501994331980238,0.6501994331980238
2.0,0,3,4,0.036050656752339885,-0.020813856380426238,-2.8798012967783412e-18,0.4412768307197133,0.4412768307197133
