field,angle,sublattice,ik,ikprime,qx,qy,qz,structure_factor
0.5,0,0,0,0,0.0,0.0,0.0,47.12968749998396
0.5,0,0,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,31.05223428775751
0.5,0,0,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,7.001983263724716
0.5,0,0,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,31.278563254910047
0.5,0,0,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,12.34309893462147
0.5,0,0,0,5,5.551115123125783e-17,-0.4162771276085246,-5.0366664873315985e-17,0.3101471944050154
0.5,0,0,0,6,0.03605065675233994,-0.4370909839889509,-5.324646617009432e-17,0.3275751974339675
0.5,0,0,0,7,0.03605065675233993,-0.3954632712280984,-4.820979968276272e-17,0.34804497571924153
0.5,0,0,0,8,0.07210131350467978,-0.4162771276085246,-5.108960097954106e-17,0.36321247185136496
0.5,0,0,0,9,0.07210131350467978,-0.37464941484767217,-4.605293449220947e-17,0.30805189421050067
0.5,0,0,0,10,-0.32445591077105895,-0.22895242018468848,-2.4448453202310898e-17,0.30879321704123236
0.5,0,0,0,11,-0.28840525401871897,-0.2497662765651148,-2.7328254499089243e-17,0.4355448612075161
0.5,0,0,0,12,-0.32445591077105895,-0.18732470742383595,-1.941178671497929e-17,0.2703775476605459
0.5,0,0,0,13,-0.28840525401871897,-0.20813856380426227,-2.229158801175764e-17,0.27094598083746685
0.5,0,0,0,14,-0.28840525401871897,-0.16651085104340985,-1.7254921524426052e-17,0.2500000000502881
0.5,0,0,1,0,-0.036050656752339885,0.02081385638042621,2.8798012967783443e-18,31.05223428775751
0.5,0,0,1,1,0.0,0.0,0.0,47.12968749998396
0.5,0,0,1,2,0.03605065675233987,-0.020813856380426238,-2.8798012967783412e-18,31.05223428775753
0.5,0,0,1,3,-1.3877787807814457e-17,0.04162771276085242,5.0366664873315954e-18,31.136330278372064
0.5,0,0,1,4,0.03605065675233987,0.020813856380426182,2.156865190553254e-18,31.278563254910047
0.5,0,0,1,5,-0.03605065675233983,-0.3954632712280984,-4.748686357653764e-17,0.40561738986793544
0.5,0,0,1,6,5.551115123125783e-17,-0.4162771276085247,-5.036666487331598e-17,0.3101471944050152
0.5,0,0,1,7,4.163336342344337e-17,-0.37464941484767217,-4.532999838598438e-17,0.3412722085378794
0.5,0,0,1,8,0.0360506567523399,-0.3954632712280984,-4.8209799682762715e-17,0.34804497571924176
0.5,0,0,1,9,0.0360506567523399,-0.35383555846724596,-4.3173133195431126e-17,0.28264240116960826
0.5,0,0,1,10,-0.3605065675233988,-0.20813856380426227,-2.1568651905532554e-17,0.28665360277017143
0.5,0,0,1,11,-0.32445591077105884,-0.2289524201846886,-2.4448453202310898e-17,0.30879321704123286
0.5,0,0,1,12,-0.3605065675233988,-0.16651085104340974,-1.6531985418200946e-17,0.32684522718445896
0.5,0,0,1,13,-0.32445591077105884,-0.18732470742383606,-1.9411786714979297e-17,0.27037754766054584
0.5,0,0,1,14,-0.32445591077105884,-0.14569699466298364,-1.4375120227647708e-17,0.3138121384215437
0.5,0,0,2,0,-0.07210131350467976,0.04162771276085245,5.7596025935566855e-18,7.001983263724716
0.5,0,0,2,1,-0.03605065675233987,0.020813856380426238,2.8798012967783412e-18,31.05223428775753
0.5,0,0,2,2,0.0,0.0,0.0,47.12968749998396
0.5,0,0,2,3,-0.036050656752339885,0.06244156914127866,7.916467784109937e-18,12.13547734853265
0.5,0,0,2,4,0.0,0.04162771276085242,5.0366664873315954e-18,31.136330278372064
0.5,0,0,2,5,-0.0721013135046797,-0.3746494148476721,-4.46070622797593e-17,0.4251492168165325
0.5,0,0,2,6,-0.036050656752339816,-0.39546327122809843,-4.748686357653764e-17,0.40561738986793533
0.5,0,0,2,7,-0.03605065675233983,-0.3538355584672459,-4.245019708920604e-17,0.36413437964828044
0.5,0,0,2,8,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,0.3412722085378793
0.5,0,0,2,9,2.7755575615628914e-17,-0.3330217020868197,-4.029333189865279e-17,0.26640624981759575
0.5,0,0,2,10,-0.3965572242757387,-0.18732470742383603,-1.8688850608754213e-17,0.34109267929136233
0.5,0,0,2,11,-0.3605065675233987,-0.20813856380426235,-2.1568651905532557e-17,0.286653602770171
0.5,0,0,2,12,-0.3965572242757387,-0.1456969946629835,-1.3652184121422605e-17,0.3139082160828161
0.5,0,0,2,13,-0.3605065675233987,-0.16651085104340982,-1.6531985418200956e-17,0.32684522718445863
0.5,0,0,2,14,-0.3605065675233987,-0.1248831382825574,-1.1495318930869366e-17,0.39194810546203
0.5,0,0,3,0,-0.03605065675233987,-0.02081385638042621,-2.156865190553251e-18,31.278563254910047
0.5,0,0,3,1,1.3877787807814457e-17,-0.04162771276085242,-5.0366664873315954e-18,31.136330278372064
0.5,0,0,3,2,0.036050656752339885,-0.06244156914127866,-7.916467784109937e-18,12.13547734853265
0.5,0,0,3,3,0.0,0.0,0.0,47.12968749998396
0.5,0,0,3,4,0.036050656752339885,-0.020813856380426238,-2.8798012967783412e-18,31.05223428775752
0.5,0,0,3,5,-0.036050656752339816,-0.4370909839889508,-5.2523530063869236e-17,0.3106805460173346
0.5,0,0,3,6,6.938893903907228e-17,-0.4579048403693771,-5.5403331360647574e-17,0.2286234855888595
0.5,0,0,3,7,5.551115123125783e-17,-0.4162771276085246,-5.036666487331597e-17,0.3101471944050154
0.5,0,0,3,8,0.03605065675233991,-0.4370909839889508,-5.324646617009431e-17,0.32757519743396746
0.5,0,0,3,9,0.03605065675233991,-0.3954632712280984,-4.820979968276272e-17,0.34804497571924153
0.5,0,0,3,10,-0.3605065675233988,-0.2497662765651147,-2.660531839286415e-17,0.294372370548008
0.5,0,0,3,11,-0.32445591077105884,-0.270580132945541,-2.9485119689642494e-17,0.36513297186896365
0.5,0,0,3,12,-0.3605065675233988,-0.20813856380426216,-2.1568651905532542e-17,0.2866536027701715
0.5,0,0,3,13,-0.32445591077105884,-0.22895242018468848,-2.4448453202310892e-17,0.3087932170412325
0.5,0,0,3,14,-0.32445591077105884,-0.18732470742383606,-1.9411786714979303e-17,0.27037754766054584
0.5,0,0,4,0,-0.07210131350467976,2.7755575615628914e-17,7.229361062250901e-19,12.34309893462147
0.5,0,0,4,1,-0.03605065675233987,-0.020813856380426182,-2.156865190553254e-18,31.278563254910047
0.5,0,0,4,2,0.0,-0.04162771276085242,-5.0366664873315954e-18,31.136330278372064
0.5,0,0,4,3,-0.036050656752339885,0.020813856380426238,2.8798012967783412e-18,31.05223428775752
0.5,0,0,4,4,0.0,0.0,0.0,47.12968749998396
0.5,0,0,4,5,-0.0721013135046797,-0.41627712760852453,-4.964372876709089e-17,0.37438009510135906
0.5,0,0,4,6,-0.036050656752339816,-0.43709098398895085,-5.252353006386923e-17,0.31068054601733436
0.5,0,0,4,7,-0.03605065675233983,-0.3954632712280983,-4.748686357653763e-17,0.40561738986793533
0.5,0,0,4,8,2.7755575615628914e-17,-0.41627712760852453,-5.0366664873315966e-17,0.3101471944050155
0.5,0,0,4,9,2.7755575615628914e-17,-0.3746494148476721,-4.532999838598438e-17,0.3412722085378793
0.5,0,0,4,10,-0.3965572242757387,-0.22895242018468845,-2.3725517096085808e-17,0.30137247326923633
0.5,0,0,4,11,-0.3605065675233987,-0.24976627656511477,-2.6605318392864153e-17,0.2943723705480081
0.5,0,0,4,12,-0.3965572242757387,-0.18732470742383592,-1.86888506087542e-17,0.34109267929136217
0.5,0,0,4,13,-0.3605065675233987,-0.20813856380426224,-2.156865190553255e-17,0.286653602770171
0.5,0,0,4,14,-0.3605065675233987,-0.16651085104340982,-1.6531985418200962e-17,0.32684522718445863
0.5,0,0,5,0,-5.551115123125783e-17,0.4162771276085246,5.0366664873315985e-17,0.3101471944050154
0.5,0,0,5,1,0.03605065675233983,0.3954632712280984,4.748686357653764e-17,0.40561738986793544
0.5,0,0,5,2,0.0721013135046797,0.3746494148476721,4.46070622797593e-17,0.4251492168165325
0.5,0,0,5,3,0.036050656752339816,0.4370909839889508,5.2523530063869236e-17,0.3106805460173346
0.5,0,0,5,4,0.0721013135046797,0.41627712760852453,4.964372876709089e-17,0.37438009510135906
0.5,0,0,5,5,0.0,0.0,0.0,47.12968749998396
0.5,0,0,5,6,0.036050656752339885,-0.02081385638042632,-2.879801296778338e-18,31.052234287757493
0.5,0,0,5,7,0.03605065675233987,0.02081385638042621,2.1568651905532634e-18,31.278563254910047
0.5,0,0,5,8,0.07210131350467973,0.0,-7.229361062250747e-19,12.343098934621489
0.5,0,0,5,9,0.07210131350467973,0.04162771276085242,4.3137303811065145e-18,7.285221409782691
0.5,0,0,5,10,-0.324455910771059,0.1873247074238361,2.5918211671005086e-17,0.22634041303598176
0.5,0,0,5,11,-0.288405254018719,0.1665108510434098,2.3038410374226742e-17,0.22421875003239733
0.5,0,0,5,12,-0.324455910771059,0.22895242018468864,3.0954878158336694e-17,0.26820473180297916
0.5,0,0,5,13,-0.288405254018719,0.20813856380426232,2.8075076861558344e-17,0.27577416131594373
0.5,0,0,5,14,-0.288405254018719,0.24976627656511474,3.311174334888993e-17,0.3597676386142116
0.5,0,0,6,0,-0.03605065675233994,0.4370909839889509,5.324646617009432e-17,0.3275751974339675
0.5,0,0,6,1,-5.551115123125783e-17,0.4162771276085247,5.036666487331598e-17,0.3101471944050152
0.5,0,0,6,2,0.036050656752339816,0.39546327122809843,4.748686357653764e-17,0.40561738986793533
0.5,0,0,6,3,-6.938893903907228e-17,0.4579048403693771,5.5403331360647574e-17,0.2286234855888595
0.5,0,0,6,4,0.036050656752339816,0.43709098398895085,5.252353006386923e-17,0.31068054601733436
0.5,0,0,6,5,-0.036050656752339885,0.02081385638042632,2.879801296778338e-18,31.052234287757493
0.5,0,0,6,6,0.0,0.0,0.0,47.12968749998396
0.5,0,0,6,7,-1.3877787807814457e-17,0.04162771276085253,5.0366664873316016e-18,31.136330278371968
0.5,0,0,6,8,0.036050656752339844,0.02081385638042632,2.1568651905532634e-18,31.27856325491
0.5,0,0,6,9,0.036050656752339844,0.06244156914127874,7.193531677884853e-18,12.49447764427378
0.5,0,0,6,10,-0.3605065675233989,0.20813856380426243,2.8798012967783425e-17,0.260516748540386
0.5,0,0,6,11,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,0.2263404130359818
0.5,0,0,6,12,-0.3605065675233989,0.24976627656511496,3.383467945511503e-17,0.25061163645554896
0.5,0,0,6,13,-0.3244559107710589,0.22895242018468864,3.095487815833668e-17,0.2682047318029795
0.5,0,0,6,14,-0.3244559107710589,0.27058013294554106,3.599154464566827e-17,0.2883472012871731
0.5,0,0,7,0,-0.03605065675233993,0.3954632712280984,4.820979968276272e-17,0.34804497571924153
0.5,0,0,7,1,-4.163336342344337e-17,0.37464941484767217,4.532999838598438e-17,0.3412722085378794
0.5,0,0,7,2,0.03605065675233983,0.3538355584672459,4.245019708920604e-17,0.36413437964828044
0.5,0,0,7,3,-5.551115123125783e-17,0.4162771276085246,5.036666487331597e-17,0.3101471944050154
0.5,0,0,7,4,0.03605065675233983,0.3954632712280983,4.748686357653763e-17,0.40561738986793533
0.5,0,0,7,5,-0.03605065675233987,-0.02081385638042621,-2.1568651905532634e-18,31.278563254910047
