field,temperature,mode,sigma,rho,sigma_error,rho_error
0.0,0.5,raw,0.05840746422532685,17.12109938795077,0.006017598761690908,1.7639510265032907
0.0,4.0,raw,0.06630687359285772,15.081392709604627,0.014573408254076861,3.3146984782706017
0.2,0.5,raw,0.0559017957350059,17.88851300484783,0.010216606214449073,3.269302725066782
0.2,4.0,raw,0.05915331171446497,16.905224255693977,0.009885097661568932,2.825028521900913
0.5,0.5,raw,0.050472966071092494,19.81258637725934,0.012812394888414385,5.029359282525943
0.5,4.0,raw,0.05452604361905108,18.339859883958386,0.01059601368002691,3.563974081411295
1.0,0.5,raw,0.0707589274024031,14.132492347051013,0.015776341427946226,3.1509667073803302
1.0,4.0,raw,0.059164791803356834,16.901944036643478,0.013419596856702135,3.833652889714509
2.0,0.5,raw,0.07547850485633814,13.248805098926482,0.013201948917803305,2.3173491376236726
2.0,4.0,raw,0.06184944948684399,16.16829265736165,0.010965430467935047,2.8665136131443796
3.0,0.5,raw,0.0641759515072859,15.582160864205806,0.015518791238875687,3.768020509594396
3.0,4.0,raw,0.05550396057928359,18.016732311770234,0.010096183747959248,3.2772479307597324
4.0,0.5,raw,0.0562604858424357,17.774464351421017,0.010777600816508148,3.4049844866852754
4.0,4.0,raw,0.06367440936467425,15.70489636225487,0.006913561571613142,1.7051868884156354
5.0,0.5,raw,0.07437165062896042,13.445983671775581,0.011085512937616655,2.0041995127429377
5.0,4.0,raw,0.062490907355344384,16.00232805572277,0.013253203217224861,3.3938074296988887
6.0,0.5,raw,0.15363023869841724,6.509135235824524,0.004844891078255017,0.2052724222677817
6.0,4.0,raw,0.06649091071522534,15.039649618921768,0.009622358880045728,2.1764915611280746
7.0,0.5,raw,0.1549631501518772,6.453147080579571,0.0022254404853094653,0.09267425679397491
7.0,4.0,raw,0.07365324733881375,13.57713388250053,0.014406783964868112,2.6557258746173096
8.0,0.5,raw,0.154781526829393,6.460719315052654,0.0,0.0
8.0,4.0,raw,0.06738364907024205,14.840395463854742,0.008826421804502943,1.9439076380839808
9.0,0.5,raw,0.154781526829393,6.460719315052654,0.0,0.0
9.0,4.0,raw,0.08043732346625834,12.432039716232945,0.011502569718802614,1.7777866967798597
