field,angle,mode,sigma,rho,delta_rho_over_rho0
0.1,0,raw,0.11407510819044096,8.766154298364242,0.0
0.1,1,raw,0.10804759386917075,9.255180649472383,0.05578573391063779
0.1,2,raw,0.10712185734676734,9.335163007516481,0.06490973005784495
0.1,3,raw,0.11332965390135816,8.823815882032054,0.006577751395337783
0.1,4,raw,0.10811856715369632,9.249105184481834,0.05509267458453371
0.1,5,raw,0.10951850858847421,9.130876715620655,0.04160574920800442
0.1,6,raw,0.11793739681388056,8.479074721126164,-0.03274863383269977
0.1,7,raw,0.1172292014058715,8.530297809824663,-0.026905354447569918
0.1,8,raw,0.10897990899790783,9.176003257804132,0.046753564389845126
0.1,9,raw,0.10275174454240309,9.73219485910845,0.11020118148324975
0.1,10,raw,0.11051530594816024,9.048520396523836,0.03221094319686846
0.1,11,raw,0.10887177859818141,9.185116775677475,0.04779318992724213
0.1,12,raw,0.10252480640386659,9.753737023026325,0.11265860616283763
0.1,13,raw,0.10803936802206175,9.255885315765628,0.05586611879427794
0.1,14,raw,0.10437578059653319,9.58076667101079,0.09292699454292674
0.1,15,raw,0.11429400186221426,8.749365528433747,-0.0019151807462055581
0.1,16,raw,0.10153388097245408,9.848929149781025,0.12351765832125805
0.1,17,raw,0.1118688986988892,8.939034992126274,0.019721383844942375
0.1,18,raw,0.11151891349518922,8.96708879828836,0.022921624818035946
0.1,19,raw,0.11691762990520287,8.55303003328756,-0.024312173596630626
0.1,20,raw,0.10658573468589287,9.382118563492481,0.07026619018594937
0.1,21,raw,0.10394952359881741,9.620053708561455,0.09740866760200073
0.1,22,raw,0.11023324573723586,9.071673371422905,0.03485212131341031
0.1,23,raw,0.11133274596145283,8.982083315776958,0.024632126022811063
0.1,24,raw,0.1097826947722699,9.108903749123407,0.039099180677566014
0.1,25,raw,0.10479677997481748,9.542277923427596,0.08853638649825935
0.1,26,raw,0.10553903669092571,9.47516702211837,0.08088070317065132
0.1,27,raw,0.09505801692391214,10.51989124494819,0.20005773191913745
0.1,28,raw,0.11749851147059344,8.510746114858415,-0.029135716166151182
0.1,29,raw,0.10324643057715231,9.685564860789412,0.10488185938008554
0.1,30,raw,0.10590242459433553,9.44265444186523,0.07717182706072401
